,,,
,,,
,,,
PC-PC,CHAVE 128 bits,String,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
87,4.19617E-05,1.9073E-06,0.0003590584
88,4.29153E-05,3.0994E-06,0.000426054
89,3.09944E-05,2.861E-06,0.0004041195
90,3.09944E-05,3.0994E-06,0.0004048347
91,4.31538E-05,4.0531E-06,0.0003709793
92,4.60148E-05,4.0531E-06,0.0004138947
93,4.60148E-05,3.8147E-06,0.00041008
94,4.50611E-05,2.861E-06,0.0004110336
95,3.09944E-05,4.0531E-06,0.0003979206
96,4.19617E-05,5.0068E-06,0.0004060268
97,0.0001559258,3.0994E-06,0.0004229546
98,5.31673E-05,4.7684E-06,0.0005290508
99,4.31538E-05,4.0531E-06,0.0004038811
100,2.98023E-05,3.8147E-06,0.0003972054
,,,
,,,
,,,
PC-PC,CHAVE 192 bits,Imagem,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
1,5.9605E-06,4.0531E-06,0.0003240108
2,5.9605E-06,4.7684E-06,0.0003712177
3,5.0068E-06,5.0068E-06,0.0003261566
4,5.9605E-06,7.1526E-06,0.0005760193
5,5.9605E-06,5.9605E-06,0.0003900528
6,5.0068E-06,4.0531E-06,0.0003170967
7,5.0068E-06,5.0068E-06,0.0003230572
8,6.1989E-06,5.9605E-06,0.0003678799
9,6.1989E-06,5.9605E-06,0.0003550053
10,6.9141E-06,6.1989E-06,0.000412941
11,5.9605E-06,5.9605E-06,0.0004010201
12,5.0068E-06,5.0068E-06,0.000330925
13,5.9605E-06,5.9605E-06,0.0004780293
14,5.0068E-06,4.0531E-06,0.0003249645
15,4.0531E-06,4.0531E-06,0.000317812
16,5.0068E-06,5.0068E-06,0.0003609657
17,6.1989E-06,5.9605E-06,0.000387907
18,4.7684E-06,4.0531E-06,0.0003311634
19,5.0068E-06,4.0531E-06,0.0003809929
20,5.9605E-06,5.0068E-06,0.000369072
21,5.0068E-06,5.9605E-06,0.0004141331
22,5.9605E-06,6.1989E-06,0.0003888607
23,7.1526E-06,5.9605E-06,0.0004110336
24,5.9605E-06,5.0068E-06,0.0003180504
25,4.0531E-06,5.0068E-06,0.000289917
26,5.9605E-06,7.1526E-06,0.0013480186
27,5.0068E-06,4.0531E-06,0.0003659725
28,2.1458E-06,1.9073E-06,0.0001239777
29,2.861E-06,2.861E-06,0.0001962185
30,5.0068E-06,4.7684E-06,0.0003972054
31,1.00136E-05,5.9605E-06,0.0003530979
32,5.0068E-06,5.0068E-06,0.0003559589
33,5.9605E-06,5.0068E-06,0.0003671646
34,5.9605E-06,4.0531E-06,0.0003209114
35,1.3113E-05,5.0068E-06,0.000415802
36,5.0068E-06,4.0531E-06,0.0003299713
37,5.0068E-06,4.0531E-06,0.00035882
38,5.0068E-06,5.9605E-06,0.0004029274
39,5.9605E-06,5.9605E-06,0.0003941059
40,5.0068E-06,5.0068E-06,0.0003759861
41,5.9605E-06,5.9605E-06,0.0003700256
42,5.0068E-06,5.0068E-06,0.0004141331
43,3.8147E-06,3.0994E-06,0.0001590252
44,5.9605E-06,6.9141E-06,0.0004069805
45,5.0068E-06,5.0068E-06,0.0003528595
46,4.7684E-06,5.0068E-06,0.0003290176
47,5.0068E-06,5.0068E-06,0.0003659725
48,5.0068E-06,5.0068E-06,0.0003619194
49,1.9073E-06,2.1458E-06,0.0001499653
50,5.0068E-06,5.0068E-06,0.0005331039
51,5.0068E-06,5.9605E-06,0.0003530979
52,1.00136E-05,7.1526E-06,0.0003528595
53,5.0068E-06,5.0068E-06,0.0003931522
54,2.1458E-06,1.9073E-06,0.0001540184
55,5.0068E-06,4.0531E-06,0.0003759861
56,5.0068E-06,4.0531E-06,0.0003221035
57,5.0068E-06,5.9605E-06,0.0004069805
58,5.0068E-06,6.1989E-06,0.0003848076
59,5.0068E-06,4.0531E-06,0.0003049374
60,5.0068E-06,3.8147E-06,0.0003211498
61,5.0068E-06,5.0068E-06,0.0003569126
62,5.0068E-06,4.0531E-06,0.0003647804
63,5.9605E-06,5.0068E-06,0.0003600121
64,5.9605E-06,5.0068E-06,0.0003800392
65,5.0068E-06,4.0531E-06,0.0003509521
66,5.0068E-06,5.9605E-06,0.0003449917
67,5.0068E-06,5.0068E-06,0.0003819466
68,6.9141E-06,5.9605E-06,0.0003490448
69,5.0068E-06,5.0068E-06,0.0003721714
70,5.9605E-06,6.9141E-06,0.001085043
71,5.0068E-06,5.0068E-06,0.0003211498
72,5.0068E-06,4.0531E-06,0.0003278255
73,6.1989E-06,4.7684E-06,0.0003600121
74,7.8678E-06,6.1989E-06,0.0006549358
75,5.0068E-06,6.1989E-06,0.0004529953
76,5.9605E-06,5.0068E-06,0.0003659725
77,5.0068E-06,5.9605E-06,0.0004441738
78,5.9605E-06,5.9605E-06,0.0003418922
79,5.0068E-06,4.0531E-06,0.0003299713
80,5.9605E-06,5.9605E-06,0.000341177
81,5.9605E-06,5.9605E-06,0.0004010201
82,1.09673E-05,5.0068E-06,0.0003800392
83,5.0068E-06,5.0068E-06,0.0003240108
84,5.0068E-06,4.0531E-06,0.0003840923
85,4.0531E-06,5.0068E-06,0.0003328323
86,5.9605E-06,4.0531E-06,0.0003299713
87,4.0531E-06,3.0994E-06,0.0002598763
88,7.1526E-06,5.9605E-06,0.0013849735
89,5.00679E-05,5.9605E-06,0.000412941
90,5.0068E-06,5.9605E-06,0.0004010201
91,6.9141E-06,8.1062E-06,0.0022790432
92,5.0068E-06,5.9605E-06,0.0026419163
93,5.9605E-06,5.9605E-06,0.0004041195
94,7.8678E-06,1.19209E-05,0.0024981499
95,5.9605E-06,5.9605E-06,0.0009870529
96,7.1526E-06,8.1062E-06,0.0021328926
97,8.1062E-06,6.9141E-06,0.0008599758
98,5.0068E-06,4.0531E-06,0.0003647804
99,5.0068E-06,5.9605E-06,0.0004048347
100,1.09673E-05,5.0068E-06,0.0003249645
,,,
,,,
,,,
PC-PC,CHAVE 256 bits,String,
No Exp.,Tempo criptografia cliente:,Tempo decriptografia cliente em ms:,Tempo de envio entre os nos em ms:
1,5.91278E-05,4.0531E-06,0.0004658699
2,5.29289E-05,6.1989E-06,0.0004329681
3,3.88622E-05,3.8147E-06,0.0004591942
4,5.88894E-05,5.9605E-06,0.0004441738
5,6.41346E-05,5.9605E-06,0.000510931
6,5.88894E-05,4.0531E-06,0.0004789829
7,3.79086E-05,5.9605E-06,0.0004179478
8,5.19753E-05,5.0068E-06,0.000426054
9,5.60284E-05,5.0068E-06,0.0004298687
10,4.98295E-05,5.9605E-06,0.0004370213
11,5.6982E-05,5.9605E-06,0.0004940033
12,5.50747E-05,5.9605E-06,0.0004580021
13,5.91278E-05,5.0068E-06,0.0004298687
14,3.91006E-05,5.0068E-06,0.0003759861
15,6.41346E-05,4.0531E-06,0.000428915
