,,
,,
,,
PC-PC,CHAVE 128 bits,String
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
92,4.57764E-05,2.81334E-05
93,4.22001E-05,2.7895E-05
94,3.60012E-05,2.7895E-05
95,3.60012E-05,2.7895E-05
96,5.60284E-05,4.50611E-05
97,4.1008E-05,2.7895E-05
98,6.38962E-05,4.69685E-05
99,3.60012E-05,2.90871E-05
100,3.60012E-05,2.7895E-05
,,
,,
,,
PC-PC,CHAVE 192 bits,Imagem
No Exp.,Tempo decriptografia server em ms:,Tempo criptografia server em ms:
1,1.09673E-05,2.861E-06
2,1.09673E-05,3.0994E-06
3,1.09673E-05,3.0994E-06
4,1.40667E-05,4.0531E-06
5,1.40667E-05,4.0531E-06
6,1.09673E-05,3.0994E-06
7,1.09673E-05,3.0994E-06
8,1.50204E-05,4.0531E-06
9,1.3113E-05,5.0068E-06
10,1.40667E-05,5.0068E-06
11,1.50204E-05,5.0068E-06
12,1.09673E-05,3.8147E-06
13,0.0001289845,4.0531E-06
14,1.09673E-05,3.0994E-06
15,1.09673E-05,3.0994E-06
16,1.19209E-05,3.0994E-06
17,1.40667E-05,4.0531E-06
18,1.3113E-05,3.8147E-06
19,1.09673E-05,3.0994E-06
20,1.40667E-05,5.0068E-06
21,1.4782E-05,5.0068E-06
22,1.40667E-05,5.0068E-06
23,1.3113E-05,4.0531E-06
24,1.12057E-05,2.861E-06
25,1.12057E-05,2.861E-06
26,1.38283E-05,4.0531E-06
27,1.19209E-05,3.0994E-06
28,5.9605E-06,1.9073E-06
29,6.9141E-06,1.9073E-06
30,1.50204E-05,4.0531E-06
31,1.40667E-05,4.0531E-06
32,1.38283E-05,4.0531E-06
33,1.40667E-05,4.0531E-06
34,1.09673E-05,2.861E-06
35,1.09673E-05,3.0994E-06
36,1.19209E-05,3.0994E-06
37,1.28746E-05,3.0994E-06
38,1.5974E-05,4.0531E-06
39,1.50204E-05,5.0068E-06
40,1.09673E-05,2.861E-06
41,1.21593E-05,2.861E-06
42,1.5974E-05,4.0531E-06
43,5.9605E-06,3.0994E-06
44,1.40667E-05,4.0531E-06
45,1.38283E-05,5.0068E-06
46,1.09673E-05,2.861E-06
47,1.21593E-05,2.861E-06
48,1.40667E-05,5.0068E-06
49,4.0531E-06,9.537E-07
50,1.09673E-05,3.0994E-06
51,1.3113E-05,4.0531E-06
52,1.5974E-05,5.0068E-06
53,1.40667E-05,4.0531E-06
54,5.0068E-06,9.537E-07
55,1.40667E-05,3.8147E-06
56,1.12057E-05,2.861E-06
57,1.5974E-05,5.0068E-06
58,1.40667E-05,4.0531E-06
59,1.09673E-05,2.861E-06
60,1.09673E-05,3.0994E-06
61,1.28746E-05,5.0068E-06
62,1.50204E-05,2.861E-06
63,1.21593E-05,2.861E-06
